"Ticker","Nome","Negócios","Última (R$)","Variação"
"CALI3","Adolpho Lindenberg","500","23,37","-6,52%"
"CEGR3","Naturgy (CEG)","300","32,69","-0,67%"
"HETA4","Hercules","300","4,91","-3,73%"
"EQPA5","Equatorial Energia Pará","200","16,40","+4,99%"
"AHEB3","São Paulo Turismo","100","23,90","+0,00%"
"EQMA3B","Equatorial Maranhão","1.200","31,00","+0,03%"
"PEAB3","Participações Aliança da Bahia","600","39,46","+0,66%"
"PEAB4","Participações Aliança da Bahia","600","38,74","-1,70%"
"RPAD6","Alfa Holdings","200","6,50","+0,00%"
"USIM6","Usiminas","100","8,00","+0,00%"
"CTSA3","Santanense","100","2,00","-0,50%"
"RSID3","Rossi Residencial","100","1,60","+0,00%"
"CTSA4","Santanense","1.400","1,29","+13,16%"
"PATI4","Panatlântica","700","30,00","-18,92%"
"HBTS5","Habitasul","500","30,00","+1,69%"
"FESA3","Ferbasa","400","12,14","-0,08%"
"CEDO3","Cedro Têxtil","200","10,00","+0,00%"
"SOND5","Sondotécnica","100","76,00","+5,19%"
"SOND6","Sondotécnica","100","70,21","-9,72%"
"COCE3","Coelce","100","33,32","-12,32%"
"RPAD3","Alfa Holdings","700","7,50","+0,00%"
"CBEE3","Ampla Energia","300","8,91","-3,68%"
"MRSA3B","MRS Logística","100","42,99","+2,87%"


